text,label
I kept rewriting the email because I was worried it sounded awkward.,0
I froze during the stand‑up and stumbled over my update.,0
I’m second‑guessing the whole plan; maybe I took on too much this week.,0
I felt small in that conversation and didn’t speak up when I disagreed.,0
I looked at the to‑do list and felt like I’ll never get through it.,0
"The gym felt intimidating today, so I cut the workout short.",0
I reread my code and only saw mistakes; I’m not sure I’m improving.,0
I avoided sending the proposal because I’m scared they’ll reject it.,0
I kept comparing myself to others and felt like I’m falling behind.,0
I didn’t introduce myself at the event; I worried I’d say the wrong thing.,0
I hesitated to share my idea in class and then someone else said it first.,0
I felt like an imposter when the team started discussing advanced topics.,0
My voice shook during the call; I wish I could start over.,0
I didn’t ask for feedback because I’m afraid to hear what’s wrong.,0
I backed out of recording the verse tonight; I’m overthinking every line.,0
I studied but still doubt I’ll do well on the quiz tomorrow.,0
I finished most tasks today; a few items will roll over to tomorrow.,1
The meeting went fine. I answered questions and took notes for follow‑ups.,1
I made steady progress on the chapter outline without any big wins or setbacks.,1
I worked through half the bug list; the rest needs deeper debugging.,1
I practiced for twenty minutes and bookmarked a few parts to refine later.,1
I went for a walk at lunch and planned the rest of the afternoon.,1
I recorded a rough draft of the hook; I’ll revisit with fresh ears.,1
I cooked dinner and watched a lecture; keeping things simple tonight.,1
I reviewed analytics and flagged a couple of metrics to monitor this week.,1
I scheduled tomorrow’s study block and set up my materials.,1
I responded to messages and cleared my inbox to zero for now.,1
I brainstormed three options for the design and parked them to compare later.,1
I cleaned the workspace and laid out a plan for Saturday.,1
I finished the first pass of edits without changing the structure yet.,1
I read two papers and listed questions for office hours.,1
"I practiced introductions for networking; nothing special, but I showed up.",1
I generated draft social posts and saved them to review tomorrow.,1
I set up a basic dataset split script and confirmed it runs.,1
I led the discussion and clearly explained my approach—it landed well.,2
I crushed my workout and hit a new PR on the final set.,2
I shipped the feature ahead of schedule and teammates praised the clarity.,2
I hosted the study session and answered questions with ease.,2
I recorded the verse in one take—the delivery felt strong and honest.,2
I asked for feedback directly and handled every note with calm focus.,2
I pitched my idea and they immediately asked for a follow‑up meeting.,2
I introduced myself to three new people and started real conversations.,2
I solved the bug by tracing the logs methodically; felt sharp and capable.,2
I stood tall during the presentation and the Q&A felt natural.,2
I mapped out the next two weeks and I’m confident I’ll execute.,2
"I woke up early, finished deep work, and protected my energy all day.",2
I performed the song live and owned the room from the first bar.,2
I mentored a classmate through the assignment and clarified the hard parts.,2
I published the post and the response validated my message.,2
I negotiated for what I needed and got it without hesitation.,2
